City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kodiak,US,37.4,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
13,Neryungri,RU,22.37,broken clouds,56.6709,124.6491,Pyat' Zvozd
43,Haines Junction,CA,37.4,overcast clouds,60.7522,-137.5108,Parkside Inn
46,Skibbereen,IE,39.2,fog,51.55,-9.2667,The West Cork Hotel
48,Okhotsk,RU,24.96,overcast clouds,59.3833,143.3,
63,Ilulissat,GL,21.2,overcast clouds,69.2167,-51.1,Hotel Arctic
68,Nikolskoye,RU,39.99,light rain,59.7035,30.7861,Tourist House - Sablino
73,Nivala,FI,32.23,broken clouds,63.9167,24.9667,Hotelli Huiskankorpi / Aseman majatalo
78,Tasiilaq,GL,28.4,scattered clouds,65.6145,-37.6368,The Red House
82,Bronnoysund,NO,37.4,broken clouds,65.4625,12.1997,Corner Hotel
85,Inuvik,CA,30.2,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
105,Mehamn,NO,28.4,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
111,Yellowknife,CA,35.01,overcast clouds,62.456,-114.3525,The Explorer Hotel
115,Kamennogorsk,RU,37.99,overcast clouds,60.9545,29.1339,"Serafima, Gostinitsa"
116,Magistralnyy,RU,37.08,light snow,56.1725,107.4458,Магистраль
117,Aklavik,CA,30.2,broken clouds,68.2191,-135.0107,Aklavik Inn
118,Saint-Augustin,CA,32.77,clear sky,51.226,-58.6502,
123,Saskylakh,RU,25.48,overcast clouds,71.9167,114.0833,
129,Leh,IN,39.45,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
132,Harnosand,SE,28.99,clear sky,62.6323,17.9379,First Hotel Stadt
141,Vitim,RU,33.91,light snow,59.4511,112.5578,Gostinitsa V Apteke
142,Fort Nelson,CA,35.6,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
150,Saint-Francois,FR,28.99,clear sky,46.4154,3.9054,Manoir Du Bonheur
155,Floro,NO,33.8,light snow,61.5996,5.0328,Kinn Hotell Florø
164,Taseyevo,RU,37.15,light snow,57.2169,94.8978,Gostinitsa Taseyevo
168,Berlevag,NO,28.4,clear sky,70.8578,29.0864,Kvitbrakka
169,Chernyshevskiy,RU,28.11,light snow,63.0128,112.4714,Chernyseyskiy
174,Havre-Saint-Pierre,CA,28.4,clear sky,50.2334,-63.5986,Auberge Niapiskau
178,Saint-Malo,FR,37.4,clear sky,48.5,-1.8333,Saint Malo Golf
180,Chalette-Sur-Loing,FR,30.0,clear sky,48.0134,2.7359,ibis Montargis
184,Capreol,CA,39.2,broken clouds,46.706,-80.9225,
193,Chapais,CA,39.2,clear sky,49.7834,-74.8492,Hôtel Opémiska
198,Yar-Sale,RU,23.31,broken clouds,66.8333,70.8333,Yalemd
209,Lukow,PL,37.99,light rain,51.929,22.3796,Hotel GROCHOWSKI
223,Norman Wells,CA,35.6,few clouds,65.282,-126.8329,Heritage Hotel
240,Severo-Kurilsk,RU,39.99,light rain,50.6789,156.125,Kak Doma
242,Torbay,CA,35.01,broken clouds,47.6666,-52.7314,Gallows Cove
244,Suoyarvi,RU,38.1,light rain,62.0833,32.35,Mini-Hotel Comfort
252,Sisimiut,GL,26.06,light snow,66.9395,-53.6735,Hotel Sisimiut
253,Miles City,US,26.6,light snow,46.4083,-105.8406,FairBridge Inn & Suites Miles City
259,Warrington,GB,39.99,broken clouds,53.3925,-2.5802,Patten Arms Hotel
261,Palana,RU,23.27,overcast clouds,59.1167,159.9667,
263,Hereford,GB,39.99,clear sky,52.0568,-2.7148,The Green Dragon Hotel
264,Saint Anthony,US,30.99,light snow,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
270,Athabasca,CA,33.8,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
271,Nuuk,GL,30.2,snow,64.1835,-51.7216,Vandrehuset
272,Tashtyp,RU,39.13,broken clouds,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
277,Yerbogachen,RU,30.7,light snow,61.2767,108.0108,
283,Gravdal,NO,33.8,broken clouds,68.1214,13.5031,Skreda Rorbusuiter
289,Novyy Urengoy,RU,22.26,scattered clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
293,Klaksvik,FO,39.2,drizzle,62.2266,-6.589,Airbnb rooms
297,Feldkirchen,DE,28.99,scattered clouds,48.148,11.7434,Hotel NH München Ost Conference Center
300,Mikkeli,FI,37.99,clear sky,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
302,Vardo,NO,26.6,clear sky,70.3705,31.1107,Vardø Hotel AS
305,Qaqortoq,GL,33.8,clear sky,60.7167,-46.0333,Hotel Qaqortoq
321,Solnechnyy,RU,24.94,light snow,50.7214,136.6319,Hotel complex Pastoral
329,Lavrentiya,RU,24.35,overcast clouds,65.5833,-171.0,
330,Bagdarin,RU,34.5,scattered clouds,54.4333,113.6,Gostevoy Dom Terem
337,Sioux Lookout,CA,33.8,mist,50.1001,-91.917,Knobby's Fly-In Camps
341,Whitehorse,CA,35.6,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
344,Thunder Bay,CA,36.0,overcast clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
348,Chara,RU,26.87,overcast clouds,56.9064,118.2631,
349,Vysokogornyy,RU,20.79,light snow,50.1167,139.15,
350,Gusinoye Ozero,RU,37.78,overcast clouds,51.1144,106.2614,Gusi-Lebedi Baza Otdykha
351,Milkovo,RU,32.43,overcast clouds,54.7167,158.6167,"Hotel ""Geologist"""
359,Billings,US,30.0,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
360,Nemuro,JP,35.6,heavy intensity rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
364,Beian,NO,35.6,light rain,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
368,Bemidji,US,34.0,light snow,47.4736,-94.8803,Hampton Inn & Suites Bemidji
370,Paamiut,GL,29.14,few clouds,61.994,-49.6678,Yeet Hotel
376,Kungurtug,RU,29.21,overcast clouds,50.5994,97.5228,
377,Alamosa,US,39.2,clear sky,37.4695,-105.87,Best Western Alamosa Inn
380,Plaster Rock,CA,35.6,clear sky,46.9065,-67.39,Settler's Inn & Motel
387,Baykit,RU,31.35,light snow,61.67,96.37,
390,Arman,RU,25.74,overcast clouds,59.7,150.1667,
396,Nanortalik,GL,34.77,clear sky,60.1432,-45.2371,Hotel Kap Farvel
398,Provideniya,RU,23.0,light snow,64.3833,-173.3,
399,Ayan,RU,20.62,light snow,56.45,138.1667,Gostinitsa
403,Lasa,IT,32.0,few clouds,46.6166,10.7002,Pension Feldgärtenhof
407,Pitea,SE,23.0,clear sky,65.3172,21.4794,Piteå Stadshotell
409,Timra,SE,28.99,clear sky,62.487,17.3257,Wifstavarfs Herrgård
412,Hovd,MN,35.89,scattered clouds,48.0056,91.6419,Hotel Khovd
416,Zhigansk,RU,22.75,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
418,Vanderhoof,CA,36.61,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
423,La Ronge,CA,23.0,clear sky,55.1001,-105.2842,Northland Motor Hotel
434,Talnakh,RU,20.55,light snow,69.4865,88.3972,Talnakh Hotel
436,Narsaq,GL,33.8,clear sky,60.9167,-46.05,Hotel Narsaq
443,Nome,US,33.8,light snow,64.5011,-165.4064,Dredge 7 Inn
446,Teya,RU,31.21,overcast clouds,60.3778,92.6267,
453,Grindavik,IS,39.2,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
461,Andenes,NO,33.8,light snow,69.3143,16.1194,Hotell Marena
463,Kodinsk,RU,34.79,light snow,58.6881,99.1844,
466,Beisfjord,NO,32.0,light snow,68.3751,17.5988,
468,Hollola,FI,33.01,scattered clouds,61.05,25.4333,Villa Aleksi
483,Khandyga,RU,24.03,few clouds,62.6667,135.6,Apel'sin
485,Verkhnyaya Inta,RU,37.0,overcast clouds,65.9811,60.3094,
496,Mitchell,US,32.0,overcast clouds,43.7094,-98.0298,Kelly Inn & Suites
523,Gimli,CA,28.4,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
526,Aksarka,RU,28.89,broken clouds,66.5606,67.7975,
529,Northam,GB,37.0,clear sky,51.0333,-4.2167,Durrant House Hotel
531,Aykhal,RU,23.34,overcast clouds,66.0,111.5,
537,Enderby,GB,39.0,overcast clouds,52.5878,-1.2062,Leicester Marriott Hotel
557,Muyezerskiy,RU,33.78,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
562,Shalinskoye,RU,34.66,light snow,55.7228,93.7594,Belaya Sova
573,Juneau,US,39.2,moderate rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
576,Soderhamn,SE,30.99,few clouds,61.3037,17.0592,Best Western Hotell SöderH
580,Strezhevoy,RU,37.4,overcast clouds,60.7333,77.5889,Sibiryachka
590,Hajnowka,PL,36.0,overcast clouds,52.7433,23.5812,"Zajazd ""Wrota Lasu"""
593,Labytnangi,RU,28.09,overcast clouds,66.6572,66.4183,Priuralye Hotel
597,Otradnoye,RU,39.99,light rain,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
601,Fort Morgan,US,35.6,broken clouds,40.2503,-103.8,Hampton Inn Fort Morgan
610,Mugur-Aksy,RU,22.66,few clouds,50.35,90.5,
618,Novochernorechenskiy,RU,34.65,light snow,56.2669,91.0828,
622,Gorssel,NL,36.0,scattered clouds,52.2017,6.2014,Postillion Hotel Deventer
627,Livingston,GB,30.99,fog,55.9029,-3.5226,"Premier Inn Livingston (M8, Jct3) hotel"
635,Pangody,RU,25.38,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
641,Berdigestyakh,RU,28.31,broken clouds,62.0989,126.6992,
649,High Level,CA,33.8,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
654,Asvanyraro,HU,39.0,overcast clouds,47.8273,17.4942,Orchidea Hotel Lipót
663,Kirensk,RU,35.2,light snow,57.7853,108.1119,Kirenskiy Plos
691,Anaconda,US,24.8,overcast clouds,46.1285,-112.9423,Trade Wind Motel
698,Sosnovo-Ozerskoye,RU,36.57,overcast clouds,52.5249,111.5418,
702,Sorland,NO,33.8,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
705,Udachnyy,RU,28.27,broken clouds,66.4167,112.4,Severnoye Siyaniye
